"","threshold","sensitivity","specificity","ppv","npv","accuracy","AUC","coefs","Prev"
"Unsampled",0.494080090024555,0.6342227673855,0.719610890973918,0.688961442995009,0.668333398944697,0.677407543698252,0.734757660376163,8.857,0.499140263490345
"Unsamped 0.5",0.5,0.626170177896804,0.724629432593042,0.689691439812189,0.664786090174674,0.675946335479914,0.734757660376163,8.857,NA
