"","Specificity","Sensitivity","Accuracy","Threshold","AUC"
"Full Youden","0.926025053523086","0.894797229454129","0.924413472349995","0.0654003152880626","0.958675325056254"
"Full 0.5","0.987026813760002","0.305741038504345","0.95191055913319","0.5","0.958675325056254"
"Down Youden","0.926025053523086","0.894797229454129","0.924413472349995","0.52635674558019","0.958679305764485"
"Down 0.5","0.928537920096769","0.887182474232346","0.926398957375038","0.5","0.958679305764485"
"Up Youden","0.926025053523086","0.894797229454129","0.924413472349995","0.525653690271914","0.958679305764485"
"Up 0.5","0.929174649356465","0.886793166668499","0.92698303178984","0.5","0.958679305764485"
"SMOTE Youden","0.926025053523086","0.894797229454129","0.924413472349995","0.459383681450503","0.958679305764485"
"SMOTE 0.5","0.937782991165891","0.877504062562613","0.934669119901871","0.5","0.958679305764485"
"","percent","5.03709799675149","","",""
