"","Specificity","Sensitivity","Accuracy","Threshold","AUC"
"Full Youden","0.878283254801546","0.870374680962614","0.874324644791986","0.487725765697013","0.920594627867439"
"Full 0.5","0.876021407384068","0.872084907754698","0.874043340488603","0.5","0.920594627867439"
"Down Youden","0.878283254801546","0.870374680962614","0.874324644791986","0.485831315656259","0.920594627867439"
"Down 0.5","0.876024462177169","0.872080786281726","0.874042829397935","0.5","0.920594627867439"
"Up Youden","0.878283254801546","0.870374680962614","0.874324644791986","0.485859624574898","0.920594627867439"
"Up 0.5","0.876026495823585","0.872080167715843","0.87404354492487","0.5","0.920594627867439"
"SMOTE Youden","0.878283254801546","0.870374680962614","0.874324644791986","0.527118198858153","0.920589612541858"
"SMOTE 0.5","0.877116052538748","0.870694819457561","0.873899008484105","0.5","0.920589612541858"
"","percent","50.0764013715936","","",""
