"","Specificity","Sensitivity","AUC"
"Full Youden","0.650994266696844","0.679000521274488","0.651271695798835"
"Full 0.5","1","0","0.989919145456404"
"Down Youden","0.645673696332297","0.67892475183513","0.646003270980272"
"Down 0.5","0.644164846468134","0.651297387291831","0.644227435347031"
"Up Youden","0.652479358537343","0.679561236409126","0.652750485536134"
"Up 0.5","0.647903257690869","0.650366588675605","0.64792108760094"
"SMOTE Youden","0.650407872860531","0.67949073521347","0.650700705305121"
"SMOTE 0.5","0.791167217360999","0.486271229268207","0.788094142900951"
"","percent","1.01206280454792",""
