"","Specificity","Sensitivity","AUC"
"Full Youden","0.625988797127748","0.679643998536432","0.631645098640499"
"Full 0.5","1","0","0.894302361238884"
"Down Youden","0.626170676495346","0.679428185786063","0.631782990902586"
"Down 0.5","0.625090667756594","0.671949881208294","0.630030767658183"
"Up Youden","0.626041690259594","0.679574465542283","0.631685883675764"
"Up 0.5","0.622378108344452","0.675177132722378","0.627948175406317"
"SMOTE Youden","0.626645238775321","0.67898944769743","0.632164673413063"
"SMOTE 0.5","0.788794328965896","0.484564424406721","0.756636614535419"
"","percent","10.6208265656019",""
