"","Specificity","Sensitivity","AUC"
"Full Youden","0.622864378156808","0.674002813537391","0.635611673310845"
"Full 0.5","0.942246018029916","0.221540221962955","0.762549218031279"
"Down Youden","0.62279489116464","0.67406338872275","0.635574670346519"
"Down 0.5","0.617297779011511","0.675559037603618","0.631815087396504"
"Up Youden","0.622864378156808","0.674002813537391","0.635611673310845"
"Up 0.5","0.617197855670497","0.675726399836685","0.631780946539916"
"SMOTE Youden","0.622864378156808","0.674002813537391","0.635611673310845"
"SMOTE 0.5","0.79178067328111","0.470700844835883","0.711715629152612"
"","percent","25.0477964266378",""
