"","Specificity","Sensitivity","AUC","Threshold"
"Full Youden","0.624510257909294","0.672717767114499","0.636534498620055","0.251406847702584"
"Full 0.5","0.942357542655969","0.221618075843101","0.762607277931105","0.5"
"Down Youden","0.624401637021442","0.672824100282608","0.636479607482367","0.498894644750031"
"Down 0.5","0.616737270421739","0.676277437382084","0.631582030052131","0.5"
"Up Youden","0.62450535594851","0.672722277159599","0.636531943166718","0.498869819207695"
"Up 0.5","0.616674918271746","0.676507146798661","0.631595522845753","0.5"
"SMOTE Youden","0.624378045362552","0.672847373797256","0.636468159051416","0.427818048033475"
"SMOTE 0.5","0.791619107503113","0.471055484271911","0.711666666666667","0.5"
"","percent","25.0454214040787","",""
