"","Specificity","Sensitivity","AUC","Threshold"
"Full Youden","0.661391008374635","0.625205908729766","0.643399775120106","0.498845695478924"
"Full 0.5","0.652507161973918","0.631704523167484","0.642157927016253","0.5"
"Down Youden","0.661391008374635","0.625205908729766","0.643399775120106","0.499641639281526"
"Down 0.5","0.651827940976273","0.632442967276501","0.642182868240826","0.5"
"Up Youden","0.661391008374635","0.625205908729766","0.643399775120106","0.499637011062623"
"Up 0.5","0.6518078229249","0.632459355570654","0.642181028314423","0.5"
"SMOTE Youden","0.661391008374635","0.625205908729766","0.643399775120106","0.485059250930556"
"SMOTE 0.5","0.728353062122133","0.537478168848759","0.633488602678115","0.5"
"","percent","49.8412416531312","",""
