"","Specificity","Sensitivity","Accuracy","Threshold","AUC"
"Full Youden","0.915898186599562","0.914167375039773","0.915839313094143","0.0490601355983925","0.950818965806292"
"Full 0.5","0.999795580892722","0.00624332630960824","0.969030052131248","0.5","0.950818965806292"
"Down Youden","0.915879942935488","0.914177186890455","0.915821936011448","0.545541635110014","0.950818965806292"
"Down 0.5","0.919383671468319","0.905681228341651","0.918953490749259","0.5","0.950818965806292"
"Up Youden","0.915898186599562","0.914167375039773","0.915839313094143","0.545176705015109","0.950818965806292"
"Up 0.5","0.920213469391196","0.904975988427986","0.919735970561178","0.5","0.950818965806292"
"SMOTE Youden","0.915897975873608","0.914167375039773","0.915839108657876","0.483223598474339","0.950818965806292"
"SMOTE 0.5","0.923222159059885","0.902246145530776","0.922567310640908","0.5","0.950818965806292"
"","percent","3.01104493773687","","",""
