"","Specificity","Sensitivity","Accuracy","Threshold","AUC"
"Full Youden","0.895907868811277","0.87691270360705","0.894010630685884","0.102797185255004","0.954365278998115"
"Full 0.5","0.971990824585728","0.760061421469395","0.950725033220893","0.5","0.954365278998115"
"Down Youden","0.895841311135891","0.876979063381722","0.893957375038332","0.503824138819388","0.954348587100409"
"Down 0.5","0.893353807331757","0.875232848420604","0.891527138914443","0.5","0.954348587100409"
"Up Youden","0.895825973694945","0.876995447825839","0.893945006644179","0.502943827608771","0.954384984710685"
"Up 0.5","0.89375544712378","0.874959620336542","0.891860778902177","0.5","0.954384984710685"
"SMOTE Youden","0.895866200206975","0.876952640299365","0.89397689870183","0.432347681341012","0.954384984710685"
"SMOTE 0.5","0.930080252268035","0.832525441318369","0.920285904119391","0.5","0.954384984710685"
"","percent","9.99967875834687","","",""
