"","Specificity","Sensitivity","AUC"
"Full Youden","0.661101912828039","0.624953450498824","0.64312889706634"
"Full 0.5","0.652954952323641","0.630627558394629","0.641849228253092"
"Down Youden","0.661101912828039","0.624953450498824","0.64312889706634"
"Down 0.5","0.652226988202697","0.631386943544792","0.641859756720842"
"Up Youden","0.661101912828039","0.624953450498824","0.64312889706634"
"Up 0.5","0.652199087303629","0.631430766988869","0.641867729735255"
"SMOTE Youden","0.661101912828039","0.624953450498824","0.64312889706634"
"SMOTE 0.5","0.727584313605483","0.537467440830777","0.633132372482878"
"","percent","49.8354845695723",""
