"","Specificity","Sensitivity","AUC"
"Full Youden","0.637909477314034","0.675257749073413","0.639703362976592"
"Full 0.5","1","0","0.952268731472963"
"Down Youden","0.636531240974394","0.675767858994299","0.638412552386793"
"Down 0.5","0.636271994237732","0.662017688758545","0.637488296023715"
"Up Youden","0.638247009530154","0.674956335394977","0.640008279668813"
"Up 0.5","0.6367596237645","0.662950319999805","0.638008688541347"
"SMOTE Youden","0.637562435591423","0.675327770790633","0.639378820402739"
"SMOTE 0.5","0.790512378445048","0.486122109902003","0.775980680772769"
"","percent","4.78369969319617",""
