"","Specificity","Sensitivity","AUC","Threshold"
"Full Youden","0.62795852770377","0.678695769768071","0.633059388735562","0.101368545079542"
"Full 0.5","1","0","0.899430542778289","0.5"
"Down Youden","0.625957949043981","0.6804660713641","0.631439129101503","0.495748419082549"
"Down 0.5","0.627305355622912","0.67055464647494","0.631665235612798","0.5"
"Up Youden","0.62784324370796","0.678812966761828","0.632965961361546","0.497284900938715"
"Up 0.5","0.624428677211361","0.673972332425479","0.629416436675866","0.5"
"SMOTE Youden","0.627418422128748","0.679188839539762","0.632622303996729","0.426387245410264"
"SMOTE 0.5","0.788610175418016","0.485951124827844","0.758165082285597","0.5"
"","percent","10.1104710341094","",""
