"","X","Threshold","Sensitivity","Specificity","Accuracy","AUC"
"1","3%",NA,NA,NA,NA,NA
"2","Full 0.5",0.5,0,100,97,70.6
"11","Full Youden",0.03,68.1,63.9,64,70.6
"4","Down 0.5",0.5,65.6,64.5,64.5,70.7
"3","Down Youden",0.491,68.5,63.4,63.5,70.7
"6","Up 0.5",0.5,65.9,64.3,64.4,70.6
"5","Up Youden",0.497,68.1,64,64.1,70.6
"8","SMOTE 0.5",0.5,49,78.9,78,70.7
"7","SMOTE Youden",0.425,68.2,63.8,63.9,70.7
"10","5%",NA,NA,NA,NA,NA
"21","Full 0.5",0.5,0,100,95,69.4
"12","Full Youden",0.05,68,63.3,63.5,69.4
"41","Down 0.5",0.5,66.4,63.5,63.6,69.4
"31","Down Youden",0.494,68,63.2,63.4,69.4
"61","Up 0.5",0.5,66.3,63.6,63.8,69.4
"51","Up Youden",0.495,68,63.2,63.5,69.4
"81","SMOTE 0.5",0.5,48.7,79,77.5,69.4
"71","SMOTE Youden",0.423,68.1,63.1,63.4,69.4
"19","10%",NA,NA,NA,NA,NA
"22","Full 0.5",0.5,0,100,89.9,69.1
"13","Full Youden",0.101,67.9,62.7,63.2,69.1
"42","Down 0.5",0.5,67.2,62.5,63,69.1
"32","Down Youden",0.496,68,62.6,63.2,69.1
"62","Up 0.5",0.5,67.4,62.4,62.9,69.1
"52","Up Youden",0.496,68,62.6,63.2,69.1
"82","SMOTE 0.5",0.5,48.6,78.9,75.8,69.1
"72","SMOTE Youden",0.425,68,62.6,63.2,69.1
"28","50%",NA,NA,NA,NA,NA
"23","Full 0.5",0.5,63.2,65.2,64.2,67.7
"14","Full Youden",0.498,62.6,66.1,64.3,67.7
"43","Down 0.5",0.5,63.2,65.2,64.2,67.7
"33","Down Youden",0.499,62.6,66.1,64.3,67.7
"63","Up 0.5",0.5,63.2,65.2,64.2,67.7
"53","Up Youden",0.499,62.6,66.1,64.3,67.7
"83","SMOTE 0.5",0.5,54.2,72.4,63.4,67.7
"73","SMOTE Youden",0.488,62.6,66.1,64.3,67.7
