"","Specificity","Sensitivity","AUC","Threshold"
"Full Youden","0.623374810700846","0.683369253996666","0.629745579065726","0.105788270217576"
"Full 0.5","1","0","0.894072166002249","0.5"
"Down Youden","0.621751335518416","0.684913886136733","0.628457630583666","0.495025028289337"
"Down 0.5","0.624858470476706","0.673204158386139","0.629973321067157","0.5"
"Up Youden","0.622503622830143","0.684206529197709","0.629053357865685","0.495128056260058"
"Up 0.5","0.623490944406438","0.675443601288562","0.628982725135439","0.5"
"SMOTE Youden","0.623882613329529","0.682822776627162","0.630144740877032","0.424625834819895"
"SMOTE 0.5","0.788699052331543","0.485260036308349","0.756554737810488","0.5"
"","percent","10.6332286590868","",""
