"","Specificity","Sensitivity","AUC"
"Full Youden","0.636994089602869","0.6765787294124","0.638956863947664"
"Full 0.5","1","0","0.950025452315241"
"Down Youden","0.636472241166619","0.67630074220294","0.638454768475928"
"Down 0.5","0.638866362193656","0.660079618113993","0.639909536951855"
"Up Youden","0.637000249664877","0.676426469471213","0.638957886128999"
"Up 0.5","0.636257364717976","0.663760971328473","0.637622201778596"
"SMOTE Youden","0.636812563294134","0.676616166045824","0.638797199223142"
"SMOTE 0.5","0.789032640568282","0.489801454961734","0.774073494837984"
"","percent","5.00725500812128",""
