"","specificity","sensitivity","accuracy","threshold","AUC","coefs","Prev"
"Unsampled",0.732619521533157,0.658756917877669,0.718173259736277,0.198757587504389,0.758939606179304,8.372,0.199475293268363
"Unsamped 0.5",0.971074499666207,0.213662493610486,0.822944699989778,0.5,0.758939606179304,8.372,NA
"Down Sampled",0.730199839286333,0.660089776018341,0.716490442604518,0.493484498931803,0.758264643218235,8.936,NA
"Up Sampled",0.732058514872541,0.658365734913912,0.717647040785035,0.493868481336436,0.758325663012312,13.41,NA
"SMOTE",0.724061791028569,0.660572832694135,0.711652969436778,0.417063974379561,0.75428944123395,22.915,NA
