"","specificity","sensitivity","accuracy","threshold","AUC","coefs","Prev"
"Unsampled",0.735892650335904,0.68228055025084,0.730680261678422,0.0986224556741514,0.773290983363724,7.87,0.0996586175780545
"Unsamped 0.5",0.995293480155626,0.0793114338406145,0.90633762649494,0.5,0.773290983363724,7.87,NA
"Down Sampled",0.735039919925224,0.680334568134558,0.729719411223551,0.49019314127871,0.771716358243637,8.847,NA
"Up Sampled",0.735355148354382,0.680491905936078,0.730026167842175,0.489179050911165,0.771923087629798,17.565,NA
"SMOTE",0.73147916150889,0.679936125796726,0.726480425227435,0.415811957600746,0.768930616656901,18.655,NA
