"","specificity","sensitivity","accuracy","threshold","AUC","coefs","Prev"
"Unsampled",0.719323779692291,0.634738493538146,0.677514259429623,0.493361363599497,0.734774918920166,8.834,0.49904623714131
"Unsamped 0.5",0.724818313284529,0.626219591674056,0.676080752325462,0.5,0.734774918920166,8.834,NA
