,specificity,sensitivity,accuracy,threshold,AUC,coefs,Prev
Unsampled,0.71,0.66,0.69,0.39,0.74,9,0.403473272
Unsamped 0.5,0.84,0.49,0.70,0.50,0.74,9,NA
Down Sampled,0.71,0.66,0.69,0.49,0.74,9,NA
Up Sampled,0.71,0.65,0.69,0.49,0.74,10,NA
SMOTE,0.71,0.64,0.68,0.41,0.73,28,NA
