"","specificity","sensitivity","accuracy","threshold","AUC","coefs","Prev"
"Unsampled",0.745964791116227,0.702822005211968,0.744716038025146,0.0298594575431207,0.788484640256888,6.387,0.0297861035914095
"Unsamped 0.5",0.999643387209922,0.0216483920111007,0.971361136665644,0.5,0.788484640256888,6.387,NA
"Down Sampled",0.743222882506736,0.698953768125598,0.741940100173771,0.489469687503562,0.784004679395196,8.529,NA
"Up Sampled",0.74281200743491,0.698977881069297,0.741537462945927,0.48186026568769,0.783790999349488,26.828,NA
"SMOTE",0.740434993185415,0.698384597176707,0.739216498006746,0.410509120748428,0.781820754275705,15.033,NA
