"","Specificity","Sensitivity","Accuracy","Threshold","AUC"
"Full Youden","0.660774931869419","0.625812208200404","0.643398446284371","0.49795930874565","0.677063211855195"
"Full 0.5","0.652471961805228","0.631715130260934","0.642146683021568","0.5","0.677063211855195"
"Down Youden","0.660774931869419","0.625812208200404","0.643398446284371","0.498730952358752","0.677063211855195"
"Down 0.5","0.651773064981631","0.632458218996669","0.642163651231728","0.5","0.677063211855195"
"Up Youden","0.660774931869419","0.625812208200404","0.643398446284371","0.498718544101081","0.677063211855195"
"Up 0.5","0.651804319368337","0.63242500191243","0.642162629050394","0.5","0.677063211855195"
"SMOTE Youden","0.660774931869419","0.625812208200404","0.643398446284371","0.487928560117942","0.677063211855195"
"SMOTE 0.5","0.724432988543456","0.541839163912211","0.633711438209138","0.5","0.677063211855195"
"","percent","49.8367514889009","","",""
