"","Specificity","Sensitivity","Accuracy","Threshold","AUC"
"Full Youden","0.639141061702206","0.681035725796376","0.640393846468364","0.0302090386380826","0.706128235046902"
"Full 0.5","1","0","0.970255340897475","0.5","0.706128235046902"
"Down Youden","0.633822791487996","0.684702297230184","0.635347234999489","0.491374634930873","0.706765161926913"
"Down 0.5","0.644656266409729","0.655604339503807","0.64497311663089","0.5","0.706765161926913"
"Up Youden","0.639567200471958","0.680764175239668","0.640803434529285","0.496676995227392","0.706413742741579"
"Up 0.5","0.643080983440989","0.658904909825304","0.643546560359808","0.5","0.706413742741579"
"SMOTE Youden","0.637841436852289","0.682012872641041","0.639163344577328","0.425336919339717","0.706557312325188"
"SMOTE 0.5","0.789002296403777","0.489956845617789","0.780105795768169","0.5","0.706557312325188"
"","percent","2.99563255730013","","",""
