"","specificity","sensitivity","accuracy","threshold","AUC","coefs","Prev"
"Unsampled",0.7179961485479,0.635602116763476,0.677281099867116,0.492576908109865,0.734713900460671,8.876,0.499010034289839
"Unsamped 0.5",0.72458235331761,0.625910637815814,0.675801492384749,0.5,0.734713900460671,8.876,NA
