"","specificity","sensitivity","accuracy","threshold","AUC","coefs","Prev"
"Unsampled",0.732537058935903,0.658516721672532,0.718075539200654,0.198791364396409,0.758750641003468,8.397,0.199362678216928
"Unsamped 0.5",0.971067000254418,0.214080099763631,0.823223448839824,0.5,0.758750641003468,8.397,NA
"Down Sampled",0.728411920400721,0.661380477977365,0.715317080650107,0.492256206953341,0.758067081131111,8.96,NA
"Up Sampled",0.731496387354686,0.658598391269915,0.717258203005213,0.493474606464182,0.758122026707025,13.411,NA
"SMOTE",0.725698523293223,0.658249295766313,0.712515792701625,0.418804193538208,0.753854145774903,23.102,NA
