"","specificity","sensitivity","accuracy","threshold","AUC","coefs","Prev"
"Unsampled",0.735502680198863,0.681731171481857,0.730286517428192,0.0984040175140052,0.773133859962098,7.903,0.0996748240389821
"Unsamped 0.5",0.995341274596261,0.079275899810354,0.906380558111009,0.5,0.773133859962098,7.903,NA
"Down Sampled",0.733151379431285,0.681521168961322,0.728127363794337,0.488870172109413,0.771625091433181,8.874,NA
"Up Sampled",0.734421069524415,0.680840485448478,0.729224675457426,0.488237257664794,0.771878946815218,17.493,NA
"SMOTE",0.729301169624909,0.680932733823331,0.724608708984974,0.414468333651063,0.768529736251058,18.508,NA
