"","specificity","sensitivity","accuracy","threshold","AUC","coefs","Prev"
"Unsampled",0.708111951330449,0.654644088028832,0.686790657262598,0.395135602682508,0.740931536555263,8.871,0.403638440714672
"Unsamped 0.5",0.84304537298863,0.488682326405265,0.701802821220485,0.5,0.740931536555263,8.871,NA
"Down Sampled",0.707712276744012,0.654745011816337,0.686589491975876,0.487083960183134,0.740762208908707,8.938,NA
"Up Sampled",0.708272938319646,0.654236591631237,0.686731472963304,0.487604032543414,0.740756401494394,9.886,NA
"SMOTE",0.707272696327794,0.644125371486401,0.682117448635388,0.411688269821409,0.734102689863989,28.278,NA
