"","specificity","sensitivity","accuracy","threshold","AUC","coefs","Prev"
"Unsampled",0.748222217286065,0.702431048899464,0.746904732699581,0.0300486689990221,0.788791984442841,6.44,0.0297349575888829
"Unsamped 0.5",0.999659428868347,0.0215880710611812,0.971473167739957,0.5,0.788791984442841,6.44,NA
"Down Sampled",0.7445864666405,0.698680903102631,0.743260554022284,0.49055132749318,0.78406311696533,8.785,NA
"Up Sampled",0.7455613322481,0.69821835701229,0.744190023510171,0.483884451778356,0.784181526300371,26.924,NA
"SMOTE",0.744244621802154,0.695931736423788,0.742850965961362,0.41369734582886,0.78201756608442,14.806,NA
