"","specificity","sensitivity","accuracy","threshold","AUC","coefs","Prev"
"Unsampled",0.743069474524549,0.694235284804812,0.740665951139732,0.0505941499005653,0.783266090964522,7.285,0.0506243999278109
"Unsamped 0.5",0.998997568162138,0.0374984027539273,0.951693345599509,0.5,0.783266090964522,7.285,NA
"Down Sampled",0.740607170818036,0.691856356824638,0.738209138301135,0.48958689420186,0.780327620638789,8.733,NA
"Up Sampled",0.737982308548538,0.69537641932195,0.735885311254217,0.483273836050405,0.780643529322692,22.929,NA
"SMOTE",0.736509807021205,0.692919942054175,0.734374936113667,0.412510750110684,0.777894523375069,15.855,NA
