"","Specificity","Sensitivity","AUC","Threshold"
"Full Youden","0.637969726462544","0.675818231706581","0.639857303485638","0.0503881729960495"
"Full 0.5","1","0","0.950104160278033","0.5"
"Down Youden","0.63746254287449","0.675687348641387","0.63936686088112","0.495798934955569"
"Down 0.5","0.640418215498158","0.658337216990131","0.641304814474088","0.5"
"Up Youden","0.638045296266419","0.675769493898195","0.639922723091076","0.496971762331601"
"Up 0.5","0.639477033895499","0.66093343309616","0.640544924869672","0.5"
"SMOTE Youden","0.637246268420186","0.676403254686799","0.639193192272309","0.425976822490958"
"SMOTE 0.5","0.788311950422489","0.491174817668513","0.773480527445569","0.5"
"","percent","5.01589604764483","",""
