"","Specificity","Sensitivity","AUC","Threshold"
"Full Youden","0.640807891041493","0.677887230288206","0.641938464683635","0.0302249390122236"
"Full 0.5","1","0","0.970082285597465","0.5"
"Down Youden","0.637287867497301","0.679093260871073","0.638554533374221","0.493397842138886"
"Down 0.5","0.640921792366386","0.657522668819045","0.641426147398549","0.5"
"Up Youden","0.640450483389602","0.678546626778646","0.641609731166309","0.496058293660423"
"Up 0.5","0.644211648390985","0.655991803359575","0.644563426351835","0.5"
"SMOTE Youden","0.638293832001618","0.680102173616981","0.639565368496371","0.424396482234124"
"SMOTE 0.5","0.788494265241541","0.491978242617545","0.779624859450066","0.5"
"","percent","3.00010106478975","",""
